SPECIES,REP,TISSUE,TISSUE_A,CODE,SEX,TIBIA_MM,WING_MM,THORAX_MM
LS,4,Pork Liver,Liver 4,LS.L4.M5,M,2.107,7.178,3.376
LS,5,Pork Liver,Liver 5,LS.L5.M1,M,1.762,6.205,3.497
LS,5,Pork Liver,Liver 5,LS.L5.M2,M,2.018,6.569,2.989
LS,5,Pork Liver,Liver 5,LS.L5.M3,M,2.025,5.862,3.206
LS,5,Pork Liver,Liver 5,LS.L5.M4,M,1.848,6.199,3.424
LS,5,Pork Liver,Liver 5,LS.L5.M5,M,2.042,6.607,3.509
LS,1,Brain,Brain 1,LS.B1.M1,M,1.973,6.339,3.254
LS,1,Brain,Brain 1,LS.B1.M2,M,1.902,6.86,3.409
LS,1,Brain,Brain 1,LS.B1.M3,M,1.987,6.328,3.382
LS,1,Brain,Brain 1,LS.B1.M4,M,2.002,6.322,3.383
LS,1,Brain,Brain 1,LS.B1.M5,M,1.883,6.094,3.265
LS,2,Brain,Brain 2,LS.B2.M1,M,1.829,6.339,3.047
LS,2,Brain,Brain 2,LS.B2.M2,M,2.11,6.551,3.384
LS,2,Brain,Brain 2,LS.B2.M3,M,1.966,6.693,3.559
LS,2,Brain,Brain 2,LS.B2.M4,M,1.854,5.881,3.007
LS,2,Brain,Brain 2,LS.B2.M5,M,2.01,6.494,3.45
LS,3,Brain,Brain 3,LS.B3.M1,M,1.922,6.458,3.221
LS,3,Brain,Brain 3,LS.B3.M2,M,1.904,6.171,3.065
LS,3,Brain,Brain 3,LS.B3.M3,M,1.648,5.682,2.768
LS,3,Brain,Brain 3,LS.B3.M4,M,2.21,6.949,3.589
LS,3,Brain,Brain 3,LS.B3.M5,M,1.899,6.141,3.273
LS,4,Brain,Brain 4,LS.B4.M1,M,2.127,6.735,3.493
LS,4,Brain,Brain 4,LS.B4.M2,M,2.092,6.477,3.443
LS,4,Brain,Brain 4,LS.B4.M3,M,1.717,5.825,2.964
LS,4,Brain,Brain 4,LS.B4.M4,M,1.952,6.396,3.318
LS,4,Brain,Brain 4,LS.B4.M5,M,1.931,6.41,3.225
LS,5,Brain,Brain 5,LS.B5.M1,M,1.929,5.844,2.953
LS,5,Brain,Brain 5,LS.B5.M2,M,2.024,6.265,3.373
LS,5,Brain,Brain 5,LS.B5.M3,M,1.882,6.368,3.275
LS,5,Brain,Brain 5,LS.B5.M4,M,1.893,6.102,3.209
LS,5,Brain,Brain 5,LS.B5.M5,M,2.05,6.635,3.368
LS,1,Muscle,Muscle 1,LS.M1.M1,M,1.906,6.123,3.292
LS,1,Muscle,Muscle 1,LS.M1.M2,M,1.81,6.441,3.113
LS,1,Muscle,Muscle 1,LS.M1.M3,M,2.008,6.328,3.164
LS,1,Muscle,Muscle 1,LS.M1.M4,M,1.926,5.891,3.146
LS,1,Muscle,Muscle 1,LS.M1.M5,M,1.881,6.596,3.581
LS,2,Muscle,Muscle 2,LS.M2.M1,M,1.886,5.88,3.187
LS,2,Muscle,Muscle 2,LS.M2.M2,M,2.016,6.296,3.342
LS,2,Muscle,Muscle 2,LS.M2.M3,M,1.762,5.985,2.906
LS,2,Muscle,Muscle 2,LS.M2.M4,M,1.44,5.615,2.748
LS,2,Muscle,Muscle 2,LS.M2.M5,M,1.822,6.389,3.241
LS,3,Muscle,Muscle 3,LS.M3.M1,M,2.071,7.238,3.602
LS,3,Muscle,Muscle 3,LS.M3.M2,M,1.469,6.463,3.158
LS,3,Muscle,Muscle 3,LS.M3.M3,M,1.745,5.798,3.228
LS,3,Muscle,Muscle 3,LS.M3.M4,M,1.867,5.89,2.688
LS,3,Muscle,Muscle 3,LS.M3.M5,M,1.565,5.92,3.133
LS,4,Muscle,Muscle 4,LS.M4.M1,M,1.651,6.076,3.168
LS,4,Muscle,Muscle 4,LS.M4.M2,M,1.959,6.117,3.386
LS,4,Muscle,Muscle 4,LS.M4.M3,M,2.03,5.9,3.049
LS,4,Muscle,Muscle 4,LS.M4.M4,M,2.159,6.248,3.21
LS,4,Muscle,Muscle 4,LS.M4.M5,M,1.776,5.726,3.095
LS,5,Muscle,Muscle 5,LS.M5.M1,M,1.915,5.965,3.126
LS,5,Muscle,Muscle 5,LS.M5.M2,M,2.021,6.284,2.841
LS,5,Muscle,Muscle 5,LS.M5.M3,M,1.68,5.467,2.967
LS,5,Muscle,Muscle 5,LS.M5.M4,M,1.893,5.994,3.219
LS,5,Muscle,Muscle 5,LS.M5.M5,M,1.915,6.424,3.201
LS,1,Beef Liver,Liver 6,LS.L6.M1,M,1.946,6.427,3.028
LS,1,Beef Liver,Liver 6,LS.L6.M2,M,2.057,6.715,3.123
LS,1,Beef Liver,Liver 6,LS.L6.M3,M,1.867,6.311,2.918
LS,1,Beef Liver,Liver 6,LS.L6.M4,M,2.006,6.883,3.209
LS,1,Beef Liver,Liver 6,LS.L6.M5,M,2.096,6.477,3.414
LS,2,Beef Liver,Liver 7,LS.L7.M1,M,2.028,6.964,3.779
LS,2,Beef Liver,Liver 7,LS.L7.M2,M,2.033,7.007,3.601
LS,2,Beef Liver,Liver 7,LS.L7.M3,M,2.064,6.456,3.271
LS,2,Beef Liver,Liver 7,LS.L7.M4,M,1.888,6.045,3.324
LS,2,Beef Liver,Liver 7,LS.L7.M5,M,2.205,6.215,3.599
LS,3,Beef Liver,Liver 8,LS.L8.M1,M,1.888,6.638,3.681
LS,3,Beef Liver,Liver 8,LS.L8.M2,M,1.801,6.601,3.545
LS,3,Beef Liver,Liver 8,LS.L8.M3,M,2,6.744,3.522
LS,3,Beef Liver,Liver 8,LS.L8.M4,M,1.847,6.492,3.465
LS,3,Beef Liver,Liver 8,LS.L8.M5,M,1.889,6.09,3.143
LS,4,Beef Liver,Liver 9,LS.L9.M1,M,1.959,6.082,3.091
LS,4,Beef Liver,Liver 9,LS.L9.M2,M,1.777,6.163,3.347
LS,4,Beef Liver,Liver 9,LS.L9.M3,M,1.961,6.155,3.313
LS,4,Beef Liver,Liver 9,LS.L9.M4,M,2.123,6.579,3.494
LS,4,Beef Liver,Liver 9,LS.L9.M5,M,1.843,6.431,3.375
LS,5,Beef Liver,Liver 10,LS.L10.M1,M,1.947,6.672,3.521
LS,5,Beef Liver,Liver 10,LS.L10.M2,M,1.987,6.5,3.262
LS,5,Beef Liver,Liver 10,LS.L10.M3,M,2.022,6.755,3.498
LS,5,Beef Liver,Liver 10,LS.L10.M4,M,1.886,6.277,3.241
LS,5,Beef Liver,Liver 10,LS.L10.M5,M,2.24,6.81,3.581
LS,1,Kidney,Kidney 1,LS.K1.M1,M,1.953,6.424,3.431
LS,1,Kidney,Kidney 1,LS.K1.M2,M,1.8,5.941,3.287
LS,1,Kidney,Kidney 1,LS.K1.M3,M,1.604,6.016,2.86
LS,1,Kidney,Kidney 1,LS.K1.M4,M,2.075,6.28,3.371
LS,1,Kidney,Kidney 1,LS.K1.M5,M,1.982,6.69,3.389
LS,2,Kidney,Kidney 2,LS.K2.M1,M,1.806,6.192,3.066
LS,2,Kidney,Kidney 2,LS.K2.M2,M,1.906,7.045,3.563
LS,2,Kidney,Kidney 2,LS.K2.M3,M,1.895,6.456,3.339
LS,2,Kidney,Kidney 2,LS.K2.M4,M,2.141,6.837,3.525
LS,2,Kidney,Kidney 2,LS.K2.M5,M,1.965,6.882,3.572
LS,3,Kidney,Kidney 3,LS.K3.M1,M,1.762,6.205,3.105
LS,3,Kidney,Kidney 3,LS.K3.M2,M,2.043,6.488,3.314
LS,3,Kidney,Kidney 3,LS.K3.M3,M,2.177,7.011,3.573
LS,3,Kidney,Kidney 3,LS.K3.M4,M,2.006,6.649,3.196
LS,3,Kidney,Kidney 3,LS.K3.M5,M,2.016,7.097,3.644
LS,4,Kidney,Kidney 4,LS.K4.M1,M,1.908,6.92,3.589
LS,4,Kidney,Kidney 4,LS.K4.M2,M,1.988,7.372,3.7
LS,4,Kidney,Kidney 4,LS.K4.M3,M,1.736,6.385,3.23
LS,4,Kidney,Kidney 4,LS.K4.M4,M,1.901,6.583,3.3
LS,4,Kidney,Kidney 4,LS.K4.M5,M,2.274,7.384,3.706
LS,5,Kidney,Kidney 5,LS.K5.M1,M,2.043,6.77,3.63
LS,5,Kidney,Kidney 5,LS.K5.M2,M,1.975,6.367,3.086
LS,5,Kidney,Kidney 5,LS.K5.M3,M,1.814,5.939,2.804
LS,5,Kidney,Kidney 5,LS.K5.M4,M,1.961,6.447,3.235
LS,5,Kidney,Kidney 5,LS.K5.M5,M,1.95,5.88,2.907
PR,1,Pork Liver,Liver 1,PR.L1.F1,F,1.969,6.839,3.327
PR,1,Pork Liver,Liver 1,PR.L1.F2,F,1.876,6.225,3.08
PR,1,Pork Liver,Liver 1,PR.L1.F3,F,1.88,6.655,3.349
PR,1,Pork Liver,Liver 1,PR.L1.F4,F,1.499,5.51,3.165
PR,1,Pork Liver,Liver 1,PR.L1.F5,F,1.828,5.479,2.872
PR,2,Pork Liver,Liver 2,PR.L2.F1,F,1.818,6.1,3.354
PR,2,Pork Liver,Liver 2,PR.L2.F2,F,1.65,5.71,3.021
PR,2,Pork Liver,Liver 2,PR.L2.F3,F,1.333,5.511,2.708
PR,2,Pork Liver,Liver 2,PR.L2.F4,F,1.428,5.94,2.992
PR,2,Pork Liver,Liver 2,PR.L2.F5,F,2.244,6.859,3.533
PR,3,Pork Liver,Liver 3,PR.L3.F1,F,1.933,6.346,3.427
PR,3,Pork Liver,Liver 3,PR.L3.F2,F,1.544,5.579,2.622
PR,3,Pork Liver,Liver 3,PR.L3.F3,F,1.804,6.127,2.961
PR,3,Pork Liver,Liver 3,PR.L3.F4,F,1.639,5.819,2.902
PR,3,Pork Liver,Liver 3,PR.L3.F5,F,1.896,6.502,3.271
PR,4,Pork Liver,Liver 4,PR.L4.F1,F,1.913,6.165,3.168
PR,4,Pork Liver,Liver 4,PR.L4.F2,F,1.936,6.219,3.257
PR,4,Pork Liver,Liver 4,PR.L4.F3,F,1.874,5.898,2.983
PR,4,Pork Liver,Liver 4,PR.L4.F4,F,1.809,6.096,3.276
PR,4,Pork Liver,Liver 4,PR.L4.F5,F,1.65,5.893,2.866
PR,5,Pork Liver,Liver 5,PR.L5.F1,F,1.71,5.824,2.907
PR,5,Pork Liver,Liver 5,PR.L5.F2,F,1.9,6.634,3.388
PR,5,Pork Liver,Liver 5,PR.L5.F3,F,1.55,5.293,2.586
PR,5,Pork Liver,Liver 5,PR.L5.F4,F,1.735,5.637,2.672
PR,5,Pork Liver,Liver 5,PR.L5.F5,F,1.802,5.993,3.16
PR,1,Beef Liver,Liver 6,PR.L6.F1,F,1.872,6.941,3.394
PR,1,Beef Liver,Liver 6,PR.L6.F2,F,1.749,6.464,3.324
PR,1,Beef Liver,Liver 6,PR.L6.F3,F,1.983,6.884,3.522
PR,1,Beef Liver,Liver 6,PR.L6.F4,F,2.023,7.039,3.559
PR,1,Beef Liver,Liver 6,PR.L6.F5,F,2.107,6.741,3.45
PR,2,Beef Liver,Liver 7,PR.L7.F1,F,1.876,7.168,3.513
PR,2,Beef Liver,Liver 7,PR.L7.F2,F,2.143,6.365,3.141
PR,2,Beef Liver,Liver 7,PR.L7.F3,F,2.093,6.418,3.315
PR,2,Beef Liver,Liver 7,PR.L7.F4,F,2.168,6.454,3.261
PR,2,Beef Liver,Liver 7,PR.L7.F5,F,1.605,6.156,3.068
PR,3,Beef Liver,Liver 8,PR.L8.F1,F,1.605,7.173,2.151
PR,3,Beef Liver,Liver 8,PR.L8.F2,F,1.984,6.486,3.434
PR,3,Beef Liver,Liver 8,PR.L8.F3,F,1.829,6.766,3.602
PR,3,Beef Liver,Liver 8,PR.L8.F4,F,2.189,7.166,3.594
PR,3,Beef Liver,Liver 8,PR.L8.F5,F,2.007,6.704,3.647
PR,4,Beef Liver,Liver 9,PR.L9.F1,F,2.003,6.812,3.533
PR,4,Beef Liver,Liver 9,PR.L9.F2,F,2.064,6.783,3.363
PR,4,Beef Liver,Liver 9,PR.L9.F3,F,2.186,6.767,3.27
