DATE,DAY,SEASON,TEST SITE,HABITAT,SAMPLE TYPE,CLASS,ORDER,SUBORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS ,SPECIES,STAGE COLL.,# COLLECTED,# FEMALE,# MALE,# UNKNOWN,NOTES,,Total
1-Aug-15,2,Summer,Park Mid 1,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban West 1,,Wasp,Calliphora,vicina,,Adult,8,3,5,,Lucilia,sericata,Adult,18,12,6,0,,,
1-Aug-15,2,Summer,Urban West 1,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban West 1,,Wasp,,,,,,,,,Phormia,regina,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban West 1,,Wasp,Lucilia,sericata,,Adult,9,9,0,,Calliphora,vicina,Adult,3,3,0,0,,,
1-Aug-15,2,Summer,Urban West 1,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban West 1,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 3,,Wasp,Lucilia,sericata,,Adult,2,2,0,,Lucilia,sericata,Adult,21,19,2,0,,,
1-Aug-15,2,Summer,Urban East 3,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 3,,Wasp,Lucilia,sericata,,Adult,2,2,0,,Phormia,regina,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 3,,Wasp,,,,,,,,,Calliphora,vicina,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 3,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 3,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Park Mid 3,,Wasp,Lucilia,sericata,,Adult,8,8,0,,Lucilia,sericata,Adult,21,20,1,0,,,
1-Aug-15,2,Summer,Park Mid 3,,Wasp,Lucilia,coeruliviridis,,Adult,41,40,1,,Lucilia,coeruliviridis,Adult,26,26,0,0,,,
1-Aug-15,2,Summer,Park Mid 3,,Wasp,Lucilia,sericata,,Adult,20,19,1,,Phormia,regina,Adult,4,3,1,0,,,
1-Aug-15,2,Summer,Park Mid 3,,Wasp,,,,,,,,,Calliphora,vicina,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Park Mid 3,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Park Mid 3,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban West 3,,Wasp,Lucilia,sericata,,Adult,30,22,8,,Lucilia,sericata,Adult,97,75,22,0,,,
1-Aug-15,2,Summer,Urban West 3,,Wasp,Calliphora,vicina,,Adult,1,0,1,,Lucilia,coeruliviridis,Adult,2,2,0,0,,,
1-Aug-15,2,Summer,Urban West 3,,Wasp,Lucilia,sericata,,Adult,3,2,1,,Phormia,regina,Adult,1,1,0,0,,,
1-Aug-15,2,Summer,Urban West 3,,Wasp,Lucilia,sericata,,Adult,2,1,1,,Calliphora,vicina,Adult,5,4,1,0,,,
1-Aug-15,2,Summer,Urban West 3,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban West 3,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 5,,Wasp,Lucilia,coeruliviridis,,Adult,7,6,1,,Lucilia,sericata,Adult,14,12,2,0,,,
1-Aug-15,2,Summer,Urban East 5,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 5,,Wasp,,,,,,,,,Phormia,regina,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 5,,Wasp,Phormia,regina,,Adult,3,3,0,,Calliphora,vicina,Adult,3,2,1,0,,,
1-Aug-15,2,Summer,Urban East 5,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban East 5,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Park Mid 5,,Wasp,Lucilia,sericata,,Adult,47,35,12,,Lucilia,sericata,Adult,28,27,1,0,,,
1-Aug-15,2,Summer,Park Mid 5,,Wasp,Lucilia,coeruliviridis,,Adult,32,30,2,,Lucilia,coeruliviridis,Adult,10,8,2,0,,,
1-Aug-15,2,Summer,Park Mid 5,,Wasp,Phormia,regina,,Adult,7,7,0,,Phormia,regina,Adult,8,6,2,0,,,
1-Aug-15,2,Summer,Park Mid 5,,Wasp,Phormia,regina,,Adult,7,7,0,,Calliphora,vicina,Adult,3,1,2,0,,,
1-Aug-15,2,Summer,Park Mid 5,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Park Mid 5,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban West 5,,Wasp,,,,,,,,,Lucilia,sericata,Adult,80,65,14,1,,,
1-Aug-15,2,Summer,Urban West 5,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,9,7,2,0,,,
1-Aug-15,2,Summer,Urban West 5,,Wasp,,,,,,,,,Phormia,regina,Adult,3,3,0,0,,,
1-Aug-15,2,Summer,Urban West 5,,Wasp,,,,,,,,,Calliphora,vicina,Adult,19,14,5,0,,,
1-Aug-15,2,Summer,Urban West 5,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
1-Aug-15,2,Summer,Urban West 5,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Urban East 1,,Wasp,Lucilia,sericata,,Adult,117,86,31,,Lucilia,sericata,Adult,23,22,1,0,,,
